Corporate Management Name,Post,subjects,No. of Vacancies,Vacancy in,No. of Surplus teachers,Surplus teacher(s) in
CHENNAI MAYILAI EDUCATIONAL SOCIETY,GRADUATE TEACHER (BT ASSISTANT),English,1,33020100211 ST JOSEPH'S HSS ERUKKANCHERY,1,33020701208 ASSUMPTION HIGHER SECONDARY SCHOOL
CHURCH OF SOUTH INDIA,GRADUATE TEACHER (BT ASSISTANT),English,2,"33040600219 VRV AIDED HSS RANIPET
33140101732 CSI BOY'S HR.SEC SCHOOL,KARUR.
33260108138 CSI GIRLS HSS, ARUPPUKOTTAI",3,33070407204 WALTER SCUDDER HIGHER SECONDARY SCHOOL TINDIVANAM
CONGREGATION OF THE IMMACULATE CONCEPTION,GRADUATE TEACHER (BT ASSISTANT),English,1,"33241517601 NIRMALA GIRLS HR SEC SCHOOL, TEPPAKULAM",1,33230602203 ST JOHN'S GIRLS HR SEC SCHOOL DEVAKOTTAI
CONGREGATION OF THE SISTERS OF ST ANNE TIRUCHIRAPALLI,GRADUATE TEACHER (BT ASSISTANT),English,2,"33150402006 ST.JOSEPH'S HR. SEC. SCHOOL, SOMARASAMPETTAI
33151103112 LITTLE FLOWER HR SEC SCHOOL,CRAWFORD",2,33300800508 ST. JOSEPH'S HIGHER SECONDARY SCHOOL VIZHUNTHAYAMBALAM
GENERAL MANAGEMENT OF RC SCHOOLS SIVAGANGAI RAMNADU,GRADUATE TEACHER (BT ASSISTANT),English,1,"33230607102 RC HIGH SCHOOL, KEELAUCHANI",1,33230303204 ST MARYS HSS RAJAGAMBEERAM
IELC AMBUR SYNOD AMBUR,GRADUATE TEACHER (BT ASSISTANT),English,1,33311201607 CONCORDIA HSS BARGUR,2,33041703420 CONCORDIA HSS AMBUR
NILGIRIS DIOCESAN SOCIETY,GRADUATE TEACHER (BT ASSISTANT),Tamil,1,33100201305 ST.SEBASTIAN'S HIGH SCHOOL NAGALUR,2,"33110101535 ST.THERESAS HS FINGER POST OOTY
33110101580 ST.JOSEPHS HSS OOTY"
ROMAN CATHOLIC SCHOOLS,GRADUATE TEACHER (BT ASSISTANT),Social Science,1,33311202802 ST.ANTONY'S HSS ELATHAGIRI,2,"33050205603 ST JOHNS  HIGH SCHOOL, KOVILUR
33050410802 SACRED HEART HR. SEC. SCHOOL, SELLIYAMPATTI"
THE ROMAN CATHOLIC SOCIETY OF THE CONGREGATION OF IMMACULATE CONCEPTION MADURAI,GRADUATE TEACHER (BT ASSISTANT),Social Science,2,"33130300303 ST.JAMES HSS,A.VELLODU
33131500401 JOHN PAUL HSS,NEHRUJI NAGAR",2,"33131002008 LOYOLA HSS,HANUMANTHARAYANKOTTAI  33130101904 ST AUGUSTINAR(G)HSS,N.PANJAMPATTI"
Grand Total,,,12,,16,
